inconsciente	a 1.0 7.375
citroncirus	n 0.0 0.0
poncho	n 0.125 0.0
cerrilismo	n 0.5 0.5
electrodo	n 0.0 0.125
mangle	n 0.125 0.0
bagel	n 0.0 0.75
nacionalismo	n 0.25 0.25
ridiculo	n 0.25 0.0
eufonia	n 1.75 0.0
samovar	n 0.0 0.0
candencia	n 0.0 0.125
cuartazos	n 0.125 0.25
sucre	n 0.0 0.0
salvado	n 0.0 0.0
acentor	n 0.125 0.0
fafarechero	n 0.0 0.5
indo	n 0.0 0.0
contrarrevolucion	n 0.0 0.0
francesilla	n 0.0 0.625
sumadora	n 0.0 0.375
denuncia	n 1.0 0.375
sordo	n 0.0 0.0
espumoso	n 0.0 0.0
orontium	n 0.125 0.0
gasteromicetes	n 0.0 0.0
aerofrenos	n 0.0 0.0
pliego	n 0.25 0.0
connubio	n 0.625 0.375
corporacion	n 0.0 0.375
tisis	n 0.375 0.5
violoncelista	n 0.5 0.125
obstetrico	n 0.0 0.25
meconopsis	n 0.0 0.0
pre�ez	n 0.875 0.375
aleutianas	n 0.0 0.0
piaget	n 0.0 0.0
argutum	n 0.0 0.0
deportacion	n 0.375 1.375
broca	n 0.0 0.125
autoritario	n 0.375 1.375
eglefino	n 0.0 1.125
madero	n 0.375 2.0
confederacion	n 0.125 0.75
rececho	n 0.0 0.625
sabihonda	n 0.0 0.125
autocatalisis	n 0.0 0.0
crinoideo	n 0.25 0.125
asidero	n 0.5 1.125
autoreproche	n 0.0 0.0
somatica	n 0.0 0.0
hexagrama	n 0.0 1.0
argelino	n 0.0 0.0
biomedica	n 0.0 0.0
comentario	n 0.375 0.875
inconsistencia	n 2.875 6.375
canalla	n 0.75 12.625
mespilus	n 0.0 0.0
attalea	n 0.125 0.0
vasca	n 0.0 0.0
puntuacion	n 0.625 0.25
hackelia	n 0.0 1.25
insidia	n 0.0 4.375
narcotrafico	n 0.5 0.0
compinche	n 0.75 0.0
tahur	n 0.125 0.125
golgota	n 0.0 0.625
quijote	n 0.0 0.125
arisaema	n 0.125 0.0
escrotal	n 0.0 0.0
lupanar	n 0.5 0.5
naucrates	n 0.0 0.0
positivismo	n 0.75 0.75
nonagesimo	n 0.375 0.0
histograma	n 0.0 0.0
hostigamiento	n 0.0 0.25
bribon	n 0.5 2.875
inopia	n 0.5 1.625
incoherencia	n 0.375 0.25
lawrence	n 0.0 0.0
sobrado	n 0.5 0.625
cenobita	n 0.25 0.25
satanismo	n 1.5 0.375
pulpo	n 0.625 0.0
eunectes	n 0.0 0.0
kilovoltio-amperio	n 0.0 0.0
mauleria	n 0.875 2.125
tetrao	n 0.0 0.0
fertilizante	n 0.0 1.125
iguana	n 0.0 0.125
muesli	n 0.0 0.125
cantonero	n 0.125 0.0
trazado	n 1.125 0.875
bavara	n 0.0 0.0
guardilla	n 0.5 0.625
vinagreras	n 0.25 0.0
mueca	n 1.125 0.375
radio-gramofono	n 0.0 0.0
parla	n 0.125 0.125
sakti	n 0.0 0.0
voltio	n 0.0 0.5
cacomiztle	n 1.125 0.25
orilla	n 0.0 2.0
serial	n 0.125 0.125
benzoico	n 0.0 0.0
pituophis	n 0.0 0.0
44	n 0.0 0.0
myriophyllum	n 0.0 0.0
lenin	n 0.0 0.0
manicuro	n 0.125 0.0
cazatorpedero	n 0.0 0.0
fricativa	n 1.0 0.5
brasa	n 0.0 1.25
zarzuela	n 0.0 0.0
tantrismo	n 0.0 0.0
lorisidos	n 0.0 0.0
epigenesis	n 0.0 0.625
mote	n 0.333 0.667
instancia	n 0.75 0.125
carretas	n 0.0 0.0
indignacion	n 0.625 1.5
driza	n 0.0 0.25
telescopico	n 0.0 0.0
finalista	n 0.125 0.0
hoyo	n 0.5 2.5
colocacion	n 2.0 0.5
espirulidos	n 0.0 0.0
moqueta	n 0.125 0.0
nochevieja	n 0.0 0.0
carbonilla	n 0.25 2.75
coeloglossum	n 0.125 0.0
napia	n 0.0 1.25
derribo	n 0.75 3.75
britanismo	n 0.125 0.125
menonita	n 0.0 0.0
nemesis	n 0.0 1.0
capreolus	n 0.0 0.0
divisa	n 0.125 0.125
cecidomidos	n 0.0 0.0
melanogrammus	n 0.0 0.0
hioscina	n 0.25 1.0
haematoxylum	n 0.0 0.0
mastique	n 0.125 0.0
fique	n 0.0 0.625
decorado	n 0.0 0.375
lista	n 0.125 0.5
comparendo	n 0.0 0.375
mayolica	n 0.5 0.0
espermatozoo	n 0.0 0.625
alisma	n 0.125 0.0
casaca	n 0.0 0.0
servodireccion	n 0.0 0.0
bacara	n 0.0 0.375
glena	n 0.125 0.0
enga�o	n 1.25 2.375
termopila	n 0.0 0.375
desperdicio	n 0.0 0.0
almorranas	n 0.0 1.25
cuculiforme	n 0.0 0.0
contemporizador	n 0.5 0.0
pienso	n 0.125 0.375
superpoblacion	n 0.0 0.125
rebajo	n 0.25 0.0
heraldo	n 1.0 1.25
neoliberalismo	n 0.0 0.0
sinapsido	n 0.375 0.0
unilateralista	n 0.0 0.125
colonialismo	n 0.0 0.0
detractor	n 0.5 0.5
abadesa	n 1.0 0.0
terciopelo	n 0.0 0.25
bocadillo	n 0.125 0.125
herreria	n 0.0 0.125
confiteria	n 0.75 0.0
permafrost	n 0.625 0.0
lilongwe	n 0.0 0.0
helotium	n 0.0 0.0
utensilios	n 0.0 0.0
par	n 3.5 1.875
mimbre	n 0.75 1.5
oxylebius	n 0.0 0.0
to	n 0.0 0.0
atasco	n 0.0 0.0
matricaria	n 0.0 0.0
neoplasia	n 0.0 0.625
medioambientalista	n 0.5 0.0
denunciador	n 0.25 0.25
ibuprofeno	n 0.0 1.0
bauhinia	n 0.0 0.0
anginas	n 0.0 0.625
calefaccion	n 0.5 0.875
pla�idera	n 0.0 0.25
qom	n 0.0 0.0
precipitada	n 0.0 0.0
cuark	n 0.0 0.125
zar	n 0.375 0.0
desventaja	n 0.0 1.75
xylaria	n 0.0 0.0
pagano	n 0.0 0.75
pugnacidad	n 0.5 0.75
chapucero	n 0.5 3.75
estabilizacion	n 0.375 0.125
isoleucina	n 0.0 0.125
improbabilidad	n 1.0 0.75
sable	n 0.375 0.25
garrancha	n 0.875 0.375
entrometido	n 0.0 3.125
disparates	n 0.75 2.75
difosfato	n 0.0 0.0
acareamiento	n 0.125 0.375
caracal	n 0.0 0.0
hidratacion	n 0.0 0.0
crescendo	n 0.125 0.0
sirenios	n 0.0 0.375
flanco	n 0.0 0.625
gallinero	n 2.0 3.125
frittata	n 0.0 0.375
hidrostatica	n 0.0 0.25
fragua	n 0.0 0.125
oportunidades	n 0.0 0.0
esterlina	n 0.0 0.0
desvalijamiento	n 0.5 1.0
megachile	n 0.125 0.0
hullera	n 0.0 0.625
arcosauro	n 0.0 0.5
corner	n 0.0 0.0
alcaide	n 0.5 0.125
quebrantahuesos	n 0.5 0.0
trompeadura	n 0.125 1.125
protectores	n 0.0 0.0
cociente	n 0.0 0.25
vincent	n 0.0 0.0
periarterial	n 0.0 0.0
titere	n 0.0 2.0
economico	n 0.0 0.0
primitivismo	n 1.0 2.625
makkah	n 1.0 0.0
portahachon	n 0.125 0.0
arbitro	n 1.375 1.25
amanita	n 0.0 0.0
pyongyang	n 0.0 0.0
escondida	n 0.0 0.0
almacenado	n 0.5 0.0
complejidad	n 1.0 0.5
baladre	n 0.25 0.0
cosmonauta	n 0.125 0.5
empacho	n 0.0 1.5
orejera	n 0.5 0.5
molokai	n 0.0 0.0
office	n 0.0 0.5
aura	n 2.25 1.875
capataz	n 0.375 0.0
barraca	n 0.125 0.0
platirrinos	n 0.0 0.0
inescrutabilidad	n 0.125 0.5
erinaceidos	n 0.125 0.0
falena	n 0.125 0.0
nacionalizacion	n 0.75 0.5
peligro	n 0.0 1.875
cynodon	n 0.125 0.0
potentado	n 2.0 2.125
acompa�amiento	n 1.625 1.375
dispensacion	n 0.125 0.0
macro	n 0.0 0.375
enets	n 0.0 0.0
crotalus	n 0.0 0.0
tifoidea	n 0.0 0.5
humanos	n 0.0 0.0
boxeador	n 0.0 0.625
viudez	n 0.0 0.125
matalahuga	n 0.125 0.0
arrogancia	n 2.0 2.0
procreacion	n 0.5 0.625
nepotismo	n 0.375 1.0
alimentador	n 0.375 0.0
esqueleto	n 0.375 0.0
conjuntiva	n 0.0 0.0
perfectivo	n 0.125 0.0
marseille	n 0.5 0.0
adolf	n 0.0 0.0
perseguido	n 0.0 0.5
otero	n 0.125 0.125
galeote	n 0.375 0.5
goetita	n 0.25 0.0
somatotropina	n 0.375 0.0
geranio	n 0.0 0.125
canabidaceas	n 0.0 0.0
53	n 0.0 0.0
cartelera	n 0.375 0.625
azada	n 0.0 0.25
agnus	n 0.0 0.0
dei	n 0.0 0.0
polystichum	n 0.0 0.0
citharichthys	n 0.0 0.0
leontopodium	n 0.0 0.0
�le-st-louis	n 0.0 0.0
trepa	n 0.75 1.5
dentifricos	n 0.0 0.0
combatiente	n 0.25 2.0
credulidad	n 1.125 0.0
embrollador	n 0.0 1.0
perone	n 0.0 0.25
anastrofe	n 0.5 0.0
naturalista	n 0.125 0.0
naranjo	n 0.0 0.375
ronda	n 0.25 0.125
somormujo	n 0.0 0.0
marxismo	n 0.125 0.25
yakarta	n 0.0 0.0
brutal	n 0.0 0.0
cuproniquel	n 0.125 0.125
aguacal	n 0.375 0.0
kitakyushu	n 0.0 0.0
vade	n 0.0 0.125
pelirrojo	n 1.5 0.625
convertibilidad	n 0.5 0.125
vaginitis	n 0.0 0.5
platalea	n 0.0 0.125
tepe	n 0.875 0.25
whisky	n 0.125 0.625
pudding	n 0.0 0.125
remesa	n 0.875 3.0
estres	n 0.125 1.75
termo	n 0.0 0.0
nitrito	n 0.25 0.0
chubasco	n 0.0 1.875
volga	n 0.0 0.0
estanco	n 0.125 0.0
parana	n 0.0 0.0
tamarindo	n 0.25 0.125
clortetraciclina	n 0.125 0.375
sumidero	n 0.125 4.375
subcomite	n 0.125 0.0
lepomis	n 0.0 0.0
haemodorum	n 0.0 0.125
burdeos	n 0.0 0.875
bicuadrada	n 0.0 0.0
guijarro	n 0.25 0.0
paradoja	n 0.25 0.0
timba	n 0.0 0.0
microtelefono	n 0.0 0.375
tractor	n 0.0 0.5
guardian	n 0.5 0.875
planaria	n 0.25 0.0
acropora	n 0.0 0.0
ceratofilaceas	n 0.0 0.0
sombrereria	n 0.0 0.25
toroide	n 0.125 0.0
catastrofismo	n 0.0 0.125
hostilidad	n 0.0 1.5
hidroterapia	n 0.125 0.5
orador	n 0.625 0.625
incompetente	n 0.0 0.625
mucina	n 0.0 0.0
aguafuertista	n 1.25 0.0
encandiladora	n 0.125 0.0
californicum	n 0.0 0.0
brete	n 0.5 0.875
polinosis	n 0.0 0.25
intransigencia	n 0.0 2.625
vatio	n 0.0 0.375
archipampano	n 1.375 0.875
milifarad	n 0.0 0.0
cate	n 1.0 2.125
cuarentavo	n 0.5 0.0
salpidos	n 0.0 0.0
brachycome	n 0.0 0.0
anopluros	n 0.0 0.375
asunto	n 1.125 3.375
malogro	n 1.125 1.375
carpodacus	n 0.0 0.0
veneno	n 0.0 2.0
bagaje	n 0.125 0.0
cimex	n 0.0 0.0
dipsosaurus	n 0.0 0.0
bendita	n 0.0 0.0
superiora	n 0.0 0.0
anabaptistas	n 0.0 0.0
jateo	n 0.0 0.0
londres	n 0.0 0.0
belgica	n 0.0 0.0
locuacidad	n 2.625 2.0
constatacion	n 1.75 0.0
machote	n 0.75 0.125
palto	n 0.25 0.0
medioevo	n 0.0 0.0
pogrom	n 0.375 0.0
recital	n 0.25 0.125
amento	n 0.25 0.0
albatros	n 0.125 1.0
deslucimiento	n 0.625 1.125
sinfisis	n 0.0 0.25
abstracta	n 0.0 0.0
muscardinus	n 0.0 0.0
demora	n 0.0 2.625
celibato	n 1.125 0.0
evaporada	n 0.0 0.0
matabele	n 0.0 0.0
nervios	n 0.75 1.75
epistrofe	n 0.375 0.625
buscavidas	n 0.0 0.25
posesividad	n 0.375 0.25
significacion	n 1.125 1.25
cilla	n 0.0 0.75
aventador	n 0.125 0.0
nefrona	n 0.0 0.0
experto	n 0.25 0.0
campylorhynchus	n 0.0 0.0
feria	n 1.0 0.25
destilatorio	n 0.375 0.5
ochna	n 0.0 0.0
autos	n 0.0 0.0
22	n 0.0 0.25
giralda	n 0.0 0.0
arius	n 0.0 0.25
preconcepcion	n 0.0 2.625
krone	n 0.0 0.0
regatas	n 0.0 0.0
bote-vivienda	n 0.0 0.25
recubrimiento	n 0.0 0.0
inhibidor	n 0.0 0.125
odonatos	n 0.0 0.375
nucleon	n 0.25 0.25
legacion	n 0.375 0.125
peltre	n 0.0 0.125
viverricula	n 0.0 0.0
pyralis	n 0.0 0.0
espionaje	n 0.0 0.0
tetrasporangio	n 0.0 0.0
peine	n 0.125 0.0
pre-rafaelita	n 0.0 0.0
windsor	n 0.0 0.0
jacksoniana	n 0.0 0.0
hula-hoop	n 0.0 0.0
sobretasa	n 0.0 1.875
soliloquio	n 0.125 0.125
epanafora	n 0.375 0.625
anilina	n 0.0 0.375
telar	n 0.0 0.375
zanguango	n 0.25 0.375
microfono	n 0.75 0.0
ohmica	n 0.0 0.0
gnomon	n 0.0 0.25
delicatessen	n 0.25 0.0
climatizador	n 0.0 0.0
ruise�or	n 0.25 0.0
esporulacion	n 0.125 0.25
callejuela	n 0.25 1.75
cala�a	n 0.5 0.0
transistor	n 0.25 0.0
polonio	n 0.25 0.25
nasofaringe	n 0.0 0.625
modicidad	n 0.75 0.75
instrumentista	n 0.625 0.0
mudanzas	n 0.125 0.25
estio	n 0.25 1.0
gallega	n 0.0 0.0
sambucus	n 0.5 0.0
fiasco	n 0.0 0.75
corrigenda	n 0.125 0.375
nilotico	n 0.0 0.0
94	n 0.0 0.0
gracula	n 0.25 0.0
alcornoque	n 0.0 5.25
profugo	n 0.0 0.0
enga�ifa	n 0.625 1.25
simulacro	n 0.375 0.875
subtonica	n 0.0 0.375
orla	n 0.125 0.125
libras	n 0.0 0.0
esterlinas	n 0.0 0.0
oosfera	n 0.0 0.125
estrellato	n 0.125 0.25
cyclosorus	n 0.0 0.0
hemolisis	n 0.0 1.75
hundimiento	n 0.0 3.625
medinilla	n 0.0 0.0
antineutron	n 0.0 0.0
barbillon	n 0.25 0.25
foronidos	n 0.25 0.0
thielavia	n 0.0 0.0
hipoeutectoide	n 0.0 0.0
elastico	n 0.5 0.0
chisinau	n 0.0 0.0
perfeccionamiento	n 1.0 0.0
esferica	n 0.0 0.0
enladrillado	n 0.0 0.0
mangana	n 0.0 1.25
merodeo	n 1.125 0.25
tronada	n 0.0 0.25
trigonella	n 0.0 0.0
homicida	n 0.0 1.625
cisca	n 0.0 1.0
legrado	n 0.0 0.25
ferry	n 2.0 0.0
latitud	n 0.0 0.0
negligencia	n 0.375 1.875
estante	n 0.0 0.75
scilla	n 0.0 0.0
nonscripta	n 0.0 0.0
misogamo	n 0.0 0.125
fanerogamo	n 0.0 2.0
sirga	n 0.0 0.0
cinico	n 0.125 0.25
flaco	n 0.0 0.0
ala-delta	n 0.0 0.0
infijo	n 0.125 0.0
argonautidos	n 0.0 0.0
desproteccion	n 0.375 0.75
comestibles	n 2.25 0.375
manzanilla	n 0.125 0.125
cuadricula	n 0.0 0.0
destrozo	n 0.875 2.75
madreperla	n 0.0 0.0
enmohecimiento	n 0.0 1.625
insolente	n 0.0 0.75
mosaico	n 0.125 0.25
nilon	n 0.0 0.125
mudanza	n 0.125 0.625
formalina	n 0.0 1.25
belitre	n 0.5 1.5
dependencia	n 1.0 1.5
transfiguracion	n 0.25 0.0
boina	n 0.0 0.25
acordeon	n 0.0 0.375
desgarron	n 0.125 3.25
aturdimiento	n 0.5 2.875
solevantamiento	n 1.125 0.875
polilla	n 0.125 0.0
bocanada	n 0.25 0.625
pleurosorus	n 0.0 0.0
errata	n 0.125 1.0
picardia	n 3.125 2.5
voltaico	n 0.125 0.5
altura	n 0.75 0.125
tantra	n 0.0 0.0
pylodictus	n 0.0 0.0
azud	n 0.0 0.625
mastozoologia	n 0.25 0.0
femtosegundo	n 0.125 0.0
esquema	n 0.375 0.0
captura	n 0.375 1.0
inmuebles	n 0.0 0.0
chismorreo	n 0.0 0.875
heliolatria	n 0.25 0.25
loro	n 0.625 0.75
radiomicrometro	n 0.125 0.5
bullebulle	n 0.0 0.125
ailanto	n 0.125 0.0
lesbianismo	n 0.25 0.25
vertedor	n 0.125 0.25
vi�eta	n 0.0 0.5
encontronazo	n 0.0 0.5
enganasan	n 0.0 0.0
descubierta	n 0.125 0.0
fringilidos	n 0.0 0.0
colono	n 0.125 0.75
desacierto	n 0.375 2.0
garla	n 0.0 0.25
mazama	n 0.0 0.0
diptero	n 0.25 0.875
nafta	n 0.125 0.0
mausoleo	n 0.125 0.0
funcionariado	n 0.0 0.0
cucharadita	n 0.125 0.5
mastoidectomia	n 0.0 0.5
parkinson	n 0.0 1.0
guarderia	n 0.0 0.0
gredal	n 0.0 0.0
nosologia	n 0.75 0.0
sabalo	n 0.125 0.0
mitocondria	n 0.5 0.0
dislexia	n 0.375 0.0
baquelita	n 0.0 0.125
sir	n 0.125 0.0
rosco	n 0.0 0.0
pericementoclasia	n 0.0 0.0
cibeles	n 0.0 0.0
grosulariaceas	n 0.0 0.0
ammotragus	n 0.0 0.0
talentos	n 0.0 0.0
guarani	n 0.0 0.0
transformacion	n 0.25 0.375
fragor	n 0.0 1.5
saltimbanqui	n 0.75 0.0
recargamiento	n 0.75 2.375
eslovenia	n 0.0 0.0
phyllocladus	n 0.0 0.0
cisteina	n 0.0 0.5
monzon	n 0.0 0.25
varicela	n 0.0 0.25
contragolpe	n 0.0 0.75
estirpe	n 2.5 2.125
schizachyrium	n 1.0 0.0
amalgamacion	n 0.125 0.0
busca	n 0.75 0.375
vultur	n 0.0 0.0
guallatiri	n 0.0 0.0
turcomano	n 0.0 0.0
araujia	n 0.0 0.0
ventisca	n 0.25 0.5
coyunturalismo	n 0.0 1.0
pergola	n 1.125 0.625
peter	n 0.0 0.0
86	n 0.0 0.0
coyote	n 0.0 0.0
autoinduccion	n 0.0 0.0
cromico	n 0.0 0.0
barreno	n 0.0 0.125
tridente	n 0.0 0.25
introduccion	n 5.25 0.375
comarcal	n 0.0 0.0
eon	n 0.25 0.0
itinerario	n 0.125 0.5
imperceptibilidad	n 0.0 0.125
consumacion	n 1.25 0.25
vichy	n 0.5 0.125
momeria	n 0.25 1.25
indizacion	n 0.125 0.125
leonardo	n 0.0 0.0
moises	n 0.0 0.25
nispero	n 0.125 0.0
rectificacion	n 1.25 0.125
pillaje	n 0.375 2.625
vittaria	n 0.0 0.0
dulcero	n 0.125 0.25
barbulata	n 0.0 0.0
rizopodo	n 0.75 0.25
pteretis	n 0.0 0.0
huri	n 0.875 0.0
semiprofesional	n 0.0 0.0
ahuecamiento	n 0.0 0.5
sarraceno	n 0.125 0.0
revision	n 1.0 2.25
spiranthes	n 0.125 0.0
anemopsis	n 0.0 0.0
alveo	n 0.25 0.0
muselina	n 0.125 0.0
tinamiformes	n 0.0 0.375
negaprion	n 0.0 0.0
recorte	n 3.125 0.75
presupuestario	n 0.0 0.0
globular	n 0.0 0.0
apreciador	n 1.0 0.375
casada	n 0.5 0.0
fontenoy	n 0.0 0.0
relegacion	n 0.0 0.625
nativo	n 0.25 2.25
infrecuencia	n 0.375 0.75
rega�on	n 0.0 2.5
vavula	n 0.0 0.0
iricuspide	n 0.0 0.0
acreedor	n 0.125 0.0
galanteria	n 1.75 0.25
tironina	n 0.0 0.625
pasamanos	n 0.0 2.625
eccema	n 0.0 0.5
pepperoni	n 0.0 0.0
agarrada	n 0.125 0.75
endulzante	n 0.5 0.0
alteridad	n 1.25 0.875
reformador	n 0.5 1.5
desobediencia	n 0.25 0.0
embullo	n 0.5 0.75
tijereta	n 0.375 0.0
instructora	n 0.125 0.0
oscilador	n 0.0 0.0
ischigualastia	n 0.0 0.0
teutonica	n 0.0 0.0
inmaterialidad	n 0.0 1.25
chino-mandarin	n 0.0 1.0
sensacionalismo	n 1.5 0.0
deum	n 0.0 0.0
sepultura	n 0.0 0.5
gastronomo	n 1.875 0.0
mentolado	n 0.0 0.0
opuesto	n 0.0 1.25
atrichornis	n 0.0 0.0
gerbera	n 0.0 0.0
hacha	n 3.0 1.25
fibrinogeno	n 0.0 0.25
so�ador	n 0.25 0.0
generalisimo	n 0.0 0.0
hulsea	n 0.0 0.0
mostela	n 0.125 0.125
tranquilizante	n 0.0 1.0
hipertiroidismo	n 0.0 0.5
aspidelaps	n 0.0 0.0
mantel	n 0.125 0.0
gigabyte	n 0.375 0.875
modernizacion	n 0.5 0.0
isotonica	n 0.0 0.0
batiente	n 0.0 0.0
saga	n 0.25 0.375
empapelador	n 0.125 0.375
directiva	n 0.125 0.0
hydrastis	n 0.0 0.0
putas	n 0.0 0.0
interesado	n 0.0 0.0
arriesgada	n 0.0 0.0
royalty	n 0.125 0.0
boquilla	n 0.375 0.25
dahomei	n 0.0 0.0
ridiculez	n 2.375 1.125
narguile	n 0.0 1.0
psicoling�istica	n 0.125 0.0
michigan	n 0.25 0.375
piquillo	n 0.0 0.0
micro	n 0.75 0.0
zambombo	n 0.0 1.875
diaforetico	n 0.125 0.25
menorrea	n 0.125 0.0
inmunoelectroforesis	n 0.0 0.0
confabulacion	n 1.75 1.125
canopo	n 0.0 0.0
ciruelo	n 0.5 0.5
tonalidad	n 1.125 1.0
requerida	n 0.0 0.0
padrenuestro	n 0.0 0.0
everest	n 0.0 0.0
nothofagus	n 0.0 0.0
acomodadora	n 0.0 0.0
palestino	n 0.0 0.0
altocumulo	n 0.0 0.0
negrura	n 0.25 2.125
regia	n 0.0 0.0
coffea	n 0.0 0.0
df	n 0.0 0.0
macarron	n 0.125 0.375
cachivache	n 0.0 0.125
leyenda	n 1.125 0.5
suplente	n 1.5 1.75
selenico	n 0.0 0.0
cabujon	n 0.25 0.0
algazara	n 0.5 1.875
oxigeno	n 0.5 0.0
casualidad	n 0.0 0.25
villania	n 2.444 2.306
lardizabala	n 0.0 0.0
nolle	n 0.0 0.0
prosequi	n 0.0 0.0
euryale	n 0.0 0.0
puericultura	n 0.0 1.0
directora	n 0.625 0.0
hamamelidanthum	n 0.0 0.0
contrasubversion	n 0.375 0.0
l�tzen	n 0.0 0.125
cephalanthera	n 0.125 0.0
huerto	n 0.0 0.0
euglena	n 0.0 0.0
austro-asiatica	n 0.0 0.0
cortinaje	n 0.5 0.625
paternidad	n 1.5 0.5
barrila	n 0.375 3.0
compositor	n 0.375 0.0
arvejana	n 0.0 0.375
betunero	n 0.0 2.0
almiar	n 0.0 0.0
claxon	n 0.375 0.0
cachiporra	n 0.125 0.125
rendicion	n 0.375 1.375
pisonia	n 0.0 0.0
formulacion	n 0.125 0.375
antidorcas	n 0.0 0.0
neuralgia	n 0.0 1.5
cronometrador	n 0.375 0.125
zambiana	n 0.0 0.0
alcotana	n 0.0 0.0
microondas	n 0.625 0.0
rapi�a	n 0.0 0.0
jorguina	n 0.125 0.25
pedagogo	n 0.875 0.375
pagare	n 0.375 0.25
facha	n 0.0 1.0
seriedad	n 4.5 2.0
amateurismo	n 0.0 0.0
norteamerica	n 0.0 0.0
ordalias	n 0.0 0.125
pomacanthus	n 0.0 0.0
aserrador	n 0.0 0.375
insolvente	n 0.0 1.25
fasciolidos	n 0.0 0.0
burdel	n 0.5 0.5
passero	n 0.0 0.0
bruma	n 0.375 0.375
vesubio	n 0.0 0.0
impropiedad	n 0.25 2.0
salvelinus	n 0.0 0.0
artropodo	n 0.0 0.25
ok	n 0.625 0.625
portaaviones	n 0.25 0.375
dux	n 0.375 0.5
mongolica	n 0.0 0.0
certificada	n 0.0 0.0
meollo	n 0.625 1.125
haluro	n 0.0 0.375
masculinidad	n 1.75 0.75
cinoscefalos	n 0.0 0.0
frusleria	n 0.875 0.375
fetido	n 0.0 0.0
precipitado	n 0.0 1.0
perpendicularidad	n 0.375 0.25
capitolio	n 0.25 0.0
anualidad	n 1.0 0.5
calostro	n 0.0 0.0
sombras	n 0.0 0.0
rasgu�o	n 0.0 2.0
orinador	n 0.125 0.5
hiperinsulinismo	n 0.0 0.0
hipocresia	n 0.25 1.375
tromba	n 0.0 0.25
portacheques	n 0.5 0.0
inseminacion	n 0.375 0.375
cepphus	n 0.0 0.0
tantaran	n 0.0 0.0
florecimiento	n 2.625 0.75
octante	n 0.25 0.125
provenza	n 0.0 0.0
histrion	n 1.0 0.25
sphacele	n 0.0 0.0
mongolismo	n 0.0 0.75
78	n 0.0 0.0
mosen	n 0.5 0.0
concesionario	n 0.125 0.0
inicial	n 0.25 0.0
directriz	n 0.375 0.0
naja	n 0.0 0.0
noel	n 0.0 0.0
ascensionista	n 0.0 0.125
corpulencia	n 0.75 0.0
expurgacion	n 0.875 0.25
carelio	n 0.0 0.0
citoplasma	n 0.25 0.0
papeleo	n 0.125 0.125
transmisor-receptor	n 0.0 0.0
quiropteros	n 0.0 0.375
humanitario	n 0.25 0.25
conocarpus	n 0.0 0.0
plebe	n 0.0 0.125
picnogonido	n 0.0 0.25
ironia	n 0.75 2.125
dramatismo	n 0.75 0.0
arpella	n 0.0 0.0
braza	n 0.125 0.25
robotica	n 0.0 0.0
citado	n 2.375 0.25
zorzal	n 0.0 0.0
alirrojo	n 0.0 0.0
termopar	n 0.0 0.375
sfax	n 0.0 0.0
filatelico	n 0.0 0.0
pleurobrachia	n 0.0 0.0
ferretero	n 0.25 0.125
hafnio	n 0.0 0.5
apuntador	n 0.125 0.25
pa'anga	n 0.0 0.0
agilidad	n 1.125 1.75
recurso	n 1.0 1.875
rotary	n 0.0 0.0
reto�o	n 0.25 0.0
mogol	n 0.0 0.25
turbopropulsor	n 0.0 0.125
tisanuro	n 0.0 0.25
zoologico	n 0.625 0.5
rufianeria	n 0.375 0.375
fistularia	n 0.0 0.125
hazardia	n 0.0 0.0
maizal	n 0.0 0.0
guardalmacen	n 0.0 0.625
cruciferas	n 0.0 0.0
talega	n 1.0 0.25
treponemataceas	n 0.125 0.0
televidente	n 1.25 0.0
orquestracion	n 0.375 0.0
artica	n 0.0 0.0
ornamentador	n 0.75 0.0
triste	n 0.0 0.0
lechero	n 0.0 1.125
cachipolla	n 0.0 0.0
jubilacion	n 0.5 0.75
pijama	n 0.25 0.25
vilano	n 0.0 0.125
cacofonia	n 0.0 0.5
apraxia	n 0.125 0.625
lanzallamas	n 0.0 0.75
bombin	n 0.0 0.5
chicha	n 0.625 0.125
servocroata	n 0.0 0.0
prolijidad	n 0.0 1.875
amadeus	n 0.0 0.0
prismatoide	n 0.0 0.125
pelleja	n 0.0 0.0
milenrama	n 0.0 0.0
repentino	n 0.0 0.0
arabesco	n 0.25 0.0
mandado	n 0.75 1.0
cielo	n 4.125 1.25
aborregado	n 0.0 0.0
retorta	n 0.0 0.125
esporocarpio	n 0.125 0.0
aspalathus	n 0.0 0.0
aerostato	n 0.0 0.0
tringa	n 0.0 0.0
lysichiton	n 1.125 0.0
pandereta	n 0.0 0.125
prociphilus	n 0.0 0.0
gentio	n 0.625 1.375
mediador	n 0.125 0.0
hetero	n 0.625 0.25
fitohormona	n 0.0 0.125
lx	n 0.125 0.125
globicephala	n 0.0 0.0
cuadrupedo	n 0.0 0.0
nartex	n 0.0 0.0
lycopodium	n 0.0 0.0
osetico	n 0.0 0.0
postor	n 0.125 0.0
amsinckia	n 0.0 0.0
ditirambo	n 0.125 0.0
desabor	n 1.875 1.5
granulocitica	n 0.0 0.0
autodromo	n 0.125 0.0
embrollo	n 0.125 5.25
hipocratico	n 0.0 0.0
lactario	n 0.0 0.0
desabrimiento	n 1.875 5.0
douglas	n 0.0 0.0
ofertas	n 0.0 0.0
molucella	n 0.0 0.0
canonjia	n 0.125 0.0
pluralista	n 0.0 0.625
burra	n 0.25 0.25
